,Domain Code,Domain,M49,Area,Element Code,Element,Item Code (FAO),Item,Year,Unit,Value,Flag,Flag Description
147,QCL,Crops and livestock products,96.0,Brunei Darussalam,5419,Yield,399,Eggplants (aubergines),2007,hg/ha,79459,Fc,Calculated data
148,QCL,Crops and livestock products,96.0,Brunei Darussalam,5419,Yield,399,Eggplants (aubergines),2008,hg/ha,75000,Fc,Calculated data
149,QCL,Crops and livestock products,96.0,Brunei Darussalam,5419,Yield,399,Eggplants (aubergines),2009,hg/ha,79024,Fc,Calculated data
150,QCL,Crops and livestock products,96.0,Brunei Darussalam,5419,Yield,399,Eggplants (aubergines),2010,hg/ha,79070,Fc,Calculated data
151,QCL,Crops and livestock products,96.0,Brunei Darussalam,5419,Yield,399,Eggplants (aubergines),2011,hg/ha,80455,Fc,Calculated data
152,QCL,Crops and livestock products,96.0,Brunei Darussalam,5419,Yield,399,Eggplants (aubergines),2012,hg/ha,83333,Fc,Calculated data
153,QCL,Crops and livestock products,96.0,Brunei Darussalam,5419,Yield,399,Eggplants (aubergines),2013,hg/ha,79800,Fc,Calculated data
154,QCL,Crops and livestock products,96.0,Brunei Darussalam,5419,Yield,399,Eggplants (aubergines),2014,hg/ha,79808,Fc,Calculated data
155,QCL,Crops and livestock products,96.0,Brunei Darussalam,5419,Yield,399,Eggplants (aubergines),2015,hg/ha,79483,Fc,Calculated data
156,QCL,Crops and livestock products,96.0,Brunei Darussalam,5419,Yield,619,"Fruit, fresh nes",1990,hg/ha,61450,Fc,Calculated data
157,QCL,Crops and livestock products,96.0,Brunei Darussalam,5419,Yield,619,"Fruit, fresh nes",1991,hg/ha,59406,Fc,Calculated data
158,QCL,Crops and livestock products,96.0,Brunei Darussalam,5419,Yield,619,"Fruit, fresh nes",1992,hg/ha,59192,Fc,Calculated data
159,QCL,Crops and livestock products,96.0,Brunei Darussalam,5419,Yield,619,"Fruit, fresh nes",1993,hg/ha,60503,Fc,Calculated data
160,QCL,Crops and livestock products,96.0,Brunei Darussalam,5419,Yield,619,"Fruit, fresh nes",1994,hg/ha,60765,Fc,Calculated data
161,QCL,Crops and livestock products,96.0,Brunei Darussalam,5419,Yield,619,"Fruit, fresh nes",1995,hg/ha,63636,Fc,Calculated data
162,QCL,Crops and livestock products,96.0,Brunei Darussalam,5419,Yield,619,"Fruit, fresh nes",1996,hg/ha,60000,Fc,Calculated data
163,QCL,Crops and livestock products,96.0,Brunei Darussalam,5419,Yield,619,"Fruit, fresh nes",1997,hg/ha,56000,Fc,Calculated data
164,QCL,Crops and livestock products,96.0,Brunei Darussalam,5419,Yield,619,"Fruit, fresh nes",1998,hg/ha,58824,Fc,Calculated data
165,QCL,Crops and livestock products,96.0,Brunei Darussalam,5419,Yield,619,"Fruit, fresh nes",1999,hg/ha,57143,Fc,Calculated data
166,QCL,Crops and livestock products,96.0,Brunei Darussalam,5419,Yield,619,"Fruit, fresh nes",2000,hg/ha,58243,Fc,Calculated data
167,QCL,Crops and livestock products,96.0,Brunei Darussalam,5419,Yield,619,"Fruit, fresh nes",2001,hg/ha,57977,Fc,Calculated data
168,QCL,Crops and livestock products,96.0,Brunei Darussalam,5419,Yield,619,"Fruit, fresh nes",2002,hg/ha,60000,Fc,Calculated data
169,QCL,Crops and livestock products,96.0,Brunei Darussalam,5419,Yield,619,"Fruit, fresh nes",2003,hg/ha,58333,Fc,Calculated data
170,QCL,Crops and livestock products,96.0,Brunei Darussalam,5419,Yield,619,"Fruit, fresh nes",2004,hg/ha,61111,Fc,Calculated data
171,QCL,Crops and livestock products,96.0,Brunei Darussalam,5419,Yield,619,"Fruit, fresh nes",2005,hg/ha,56195,Fc,Calculated data
172,QCL,Crops and livestock products,96.0,Brunei Darussalam,5419,Yield,619,"Fruit, fresh nes",2006,hg/ha,55343,Fc,Calculated data
173,QCL,Crops and livestock products,96.0,Brunei Darussalam,5419,Yield,619,"Fruit, fresh nes",2007,hg/ha,54678,Fc,Calculated data
174,QCL,Crops and livestock products,96.0,Brunei Darussalam,5419,Yield,619,"Fruit, fresh nes",2008,hg/ha,52789,Fc,Calculated data
175,QCL,Crops and livestock products,96.0,Brunei Darussalam,5419,Yield,619,"Fruit, fresh nes",2009,hg/ha,51596,Fc,Calculated data
176,QCL,Crops and livestock products,96.0,Brunei Darussalam,5419,Yield,619,"Fruit, fresh nes",2010,hg/ha,50409,Fc,Calculated data
177,QCL,Crops and livestock products,96.0,Brunei Darussalam,5419,Yield,619,"Fruit, fresh nes",2011,hg/ha,49172,Fc,Calculated data
178,QCL,Crops and livestock products,96.0,Brunei Darussalam,5419,Yield,619,"Fruit, fresh nes",2012,hg/ha,40000,Fc,Calculated data
179,QCL,Crops and livestock products,96.0,Brunei Darussalam,5419,Yield,619,"Fruit, fresh nes",2013,hg/ha,46851,Fc,Calculated data
180,QCL,Crops and livestock products,96.0,Brunei Darussalam,5419,Yield,619,"Fruit, fresh nes",2014,hg/ha,44610,Fc,Calculated data
181,QCL,Crops and livestock products,96.0,Brunei Darussalam,5419,Yield,619,"Fruit, fresh nes",2015,hg/ha,43128,Fc,Calculated data
182,QCL,Crops and livestock products,96.0,Brunei Darussalam,5419,Yield,497,Lemons and limes,1990,hg/ha,98333,Fc,Calculated data
183,QCL,Crops and livestock products,96.0,Brunei Darussalam,5419,Yield,497,Lemons and limes,1991,hg/ha,55556,Fc,Calculated data
184,QCL,Crops and livestock products,96.0,Brunei Darussalam,5419,Yield,497,Lemons and limes,1992,hg/ha,57500,Fc,Calculated data
185,QCL,Crops and livestock products,96.0,Brunei Darussalam,5419,Yield,497,Lemons and limes,1993,hg/ha,56250,Fc,Calculated data
186,QCL,Crops and livestock products,96.0,Brunei Darussalam,5419,Yield,497,Lemons and limes,1994,hg/ha,53750,Fc,Calculated data
187,QCL,Crops and livestock products,96.0,Brunei Darussalam,5419,Yield,497,Lemons and limes,1995,hg/ha,57143,Fc,Calculated data
188,QCL,Crops and livestock products,96.0,Brunei Darussalam,5419,Yield,497,Lemons and limes,1996,hg/ha,55714,Fc,Calculated data
189,QCL,Crops and livestock products,96.0,Brunei Darussalam,5419,Yield,497,Lemons and limes,1997,hg/ha,56250,Fc,Calculated data
190,QCL,Crops and livestock products,96.0,Brunei Darussalam,5419,Yield,497,Lemons and limes,1998,hg/ha,53333,Fc,Calculated data
191,QCL,Crops and livestock products,96.0,Brunei Darussalam,5419,Yield,497,Lemons and limes,1999,hg/ha,50000,Fc,Calculated data
192,QCL,Crops and livestock products,96.0,Brunei Darussalam,5419,Yield,497,Lemons and limes,2000,hg/ha,54000,Fc,Calculated data
193,QCL,Crops and livestock products,96.0,Brunei Darussalam,5419,Yield,497,Lemons and limes,2001,hg/ha,50000,Fc,Calculated data
194,QCL,Crops and livestock products,96.0,Brunei Darussalam,5419,Yield,497,Lemons and limes,2002,hg/ha,51667,Fc,Calculated data
195,QCL,Crops and livestock products,96.0,Brunei Darussalam,5419,Yield,497,Lemons and limes,2003,hg/ha,50000,Fc,Calculated data
196,QCL,Crops and livestock products,96.0,Brunei Darussalam,5419,Yield,497,Lemons and limes,2004,hg/ha,50000,Fc,Calculated data
