lat,lon,country
-88.59375,38.671875,Antarctica
-88.59375,40.078125,Antarctica
-88.59375,41.484375,Antarctica
-88.59375,42.890625,Antarctica
-88.59375,44.296875,Antarctica
-88.59375,45.703125,Antarctica
-88.59375,47.109375,Antarctica
-88.59375,48.515625,Antarctica
-88.59375,49.921875,Antarctica
-88.59375,51.328125,Antarctica
-88.59375,52.734375,Antarctica
-88.59375,54.140625,Antarctica
-88.59375,55.546875,Antarctica
-88.59375,56.953125,Antarctica
-88.59375,58.359375,Antarctica
-88.59375,59.765625,Antarctica
-88.59375,61.171875,Antarctica
-88.59375,62.578125,Antarctica
-88.59375,63.984375,Antarctica
-88.59375,65.390625,Antarctica
-88.59375,66.796875,Antarctica
-88.59375,68.203125,Antarctica
-88.59375,69.609375,Antarctica
-88.59375,71.015625,Antarctica
-88.59375,72.421875,Antarctica
-88.59375,73.828125,Antarctica
-88.59375,75.234375,Antarctica
-88.59375,76.640625,Antarctica
-88.59375,78.046875,Antarctica
-88.59375,79.453125,Antarctica
-88.59375,80.859375,Antarctica
-88.59375,82.265625,Antarctica
-88.59375,83.671875,Antarctica
-88.59375,85.078125,Antarctica
-88.59375,86.484375,Antarctica
-88.59375,87.890625,Antarctica
-88.59375,89.296875,Antarctica
-88.59375,90.703125,Antarctica
-88.59375,92.109375,Antarctica
-88.59375,93.515625,Antarctica
-88.59375,94.921875,Antarctica
-88.59375,96.328125,Antarctica
-88.59375,97.734375,Antarctica
-88.59375,99.140625,Antarctica
-88.59375,100.546875,Antarctica
-88.59375,101.953125,Antarctica
-88.59375,103.359375,Antarctica
-88.59375,104.765625,Antarctica
-88.59375,106.171875,Antarctica
-88.59375,107.578125,Antarctica
-88.59375,108.984375,Antarctica
-88.59375,110.390625,Antarctica
-88.59375,111.796875,Antarctica
-88.59375,113.203125,Antarctica
-88.59375,114.609375,Antarctica
-88.59375,116.015625,Antarctica
-88.59375,117.421875,Antarctica
-88.59375,118.828125,Antarctica
-88.59375,120.234375,Antarctica
-88.59375,121.640625,Antarctica
-88.59375,123.046875,Antarctica
-88.59375,124.453125,Antarctica
-88.59375,125.859375,Antarctica
-88.59375,127.265625,Antarctica
-88.59375,128.671875,Antarctica
-88.59375,130.078125,Antarctica
-88.59375,131.484375,Antarctica
-88.59375,132.890625,Antarctica
-88.59375,134.296875,Antarctica
-88.59375,135.703125,Antarctica
-88.59375,137.109375,Antarctica
-88.59375,138.515625,Antarctica
-88.59375,139.921875,Antarctica
-88.59375,141.328125,Antarctica
-88.59375,142.734375,Antarctica
-88.59375,144.140625,Antarctica
-88.59375,145.546875,Antarctica
-88.59375,146.953125,Antarctica
-88.59375,148.359375,Antarctica
-88.59375,149.765625,Antarctica
